trace,Num. PREGS,ROB entries,Num. SchedQ entries per FU,Num. ALU FUs,Num. MUL FUs,Num. LSU FUs,Fetch width,Dispatch width,P,H,Predictor (M),Cycles,Trace instructions,Fetched instructions,Retired instructions,Total branch instructions,Branch Mispredictions,I-cache misses,D-cache misses,Cycles with no fires,No dispatch cycles due to ROB,No dispatch cycles due to PRegs,Max DispQ usage,Average DispQ usage,Max SchedQ usage,Average SchedQ usage,Max ROB usage,Average ROB usage,IPC,branch_pattern_table_size,reservation_station_size,resource_utilization
deepsjeng531,128,160,4,2,2,2,8,8,16,16,GSPLIT,1529482,2000000,11737235,2000000,171719,52333,1023,12840,516132,0,0,336,14.69,24,13.691,93,20.868,1.308,16,24,1106.0
deepsjeng531,32,64,4,3,2,2,4,4,16,16,GSPLIT,1511615,2000000,5801107,2000000,171719,51352,1023,12840,545635,0,441720,224,14.31,28,8.658,53,14.59,1.323,16,28,434.0
deepsjeng531,64,96,4,3,2,2,4,4,16,16,GSPLIT,1468123,2000000,5627266,2000000,171719,51336,1023,12840,527202,0,29507,190,7.167,28,12.586,73,21.1,1.362,16,28,658.0
deepsjeng531,128,160,4,3,2,2,4,4,16,16,GSPLIT,1467316,2000000,5624034,2000000,171719,51337,1023,12840,525695,0,0,190,6.871,28,12.752,113,21.371,1.363,16,28,1106.0
deepsjeng531,32,64,4,3,2,2,8,8,16,16,GSPLIT,1498982,2000000,11493254,2000000,171719,52330,1023,12840,556094,0,571069,348,19.168,28,9.945,53,16.373,1.334,16,28,442.0
deepsjeng531,64,96,4,3,2,2,8,8,16,16,GSPLIT,1457762,2000000,11163638,2000000,171719,52327,1023,12840,538308,0,30481,306,11.855,28,14.165,79,23.15,1.372,16,28,666.0
deepsjeng531,128,160,4,3,2,2,8,8,16,16,GSPLIT,1457073,2000000,11158126,2000000,171719,52327,1023,12840,536834,0,0,306,11.614,28,14.294,97,23.372,1.373,16,28,1114.0
deepsjeng531,32,64,4,3,3,2,4,4,16,16,GSPLIT,1511615,2000000,5801107,2000000,171719,51352,1023,12840,545603,0,446697,224,14.292,32,8.673,53,14.607,1.323,16,32,445.0
deepsjeng531,64,96,4,3,3,2,4,4,16,16,GSPLIT,1467876,2000000,5626282,2000000,171719,51335,1023,12840,527416,0,42391,185,6.359,32,13.08,77,21.894,1.363,16,32,669.0
deepsjeng531,128,160,4,3,3,2,4,4,16,16,GSPLIT,1466526,2000000,5620878,2000000,171719,51336,1023,12840,526116,0,0,185,5.869,32,13.376,113,22.34,1.364,16,32,1117.0
